Country,Date,UV
AND,2020-02-06,0.0719
AND,2020-02-07,0.0585
AND,2020-02-08,0.0709
AND,2020-02-09,0.0734
AND,2020-02-10,0.099
AND,2020-02-11,0.0624
AND,2020-02-12,0.0648
AND,2020-02-13,0.0754
AND,2020-02-14,0.0869
AND,2020-02-15,0.0826
AND,2020-02-16,0.0958
AND,2020-02-17,0.0738
AND,2020-02-18,0.0806
AND,2020-02-19,0.087
AND,2020-02-20,0.0874
AND,2020-02-21,0.0901
AND,2020-02-22,0.0941
AND,2020-02-23,0.1013
AND,2020-02-24,0.1022
AND,2020-02-25,0.0449
AND,2020-02-26,0.0746
AND,2020-02-27,0.0397
AND,2020-02-28,0.0571
AND,2020-02-29,0.0834
AND,2020-03-01,0.0798
AND,2020-03-02,0.068
AND,2020-03-03,0.068
AND,2020-03-04,0.0513
AND,2020-03-05,0.078
AND,2020-03-06,0.0797
AND,2020-03-07,0.0944
AND,2020-03-08,0.1192
AND,2020-03-09,0.0949
AND,2020-03-10,0.1141
AND,2020-03-11,0.1462
AND,2020-03-12,0.1258
AND,2020-03-13,0.0309
AND,2020-03-14,0.1248
AND,2020-03-15,0.1261
AND,2020-03-16,0.0259
AND,2020-03-17,0.071
AND,2020-03-18,0.08
AND,2020-03-19,0.1238
AND,2020-03-20,0.1225
AND,2020-03-21,0.121
AND,2020-03-22,0.0721
AND,2020-03-23,0.0594
AND,2020-03-24,0.0446
AND,2020-03-25,0.0462
AND,2020-03-26,0.0827
AND,2020-03-27,0.1154
AND,2020-03-28,0.1109
AND,2020-03-29,0.085
AND,2020-03-30,0.0537
AND,2020-03-31,0.0648
AND,2020-04-01,0.0623
AND,2020-04-02,0.0671
AND,2020-04-03,0.1472
AND,2020-04-04,0.145
AND,2020-04-05,0.1691
AND,2020-04-06,0.1176
AND,2020-04-07,0.1074
AND,2020-04-08,0.0878
AND,2020-04-09,0.1128
AND,2020-04-10,0.1443
AND,2020-04-11,0.1199
AND,2020-04-12,0.1384
AND,2020-04-13,0.0578
AND,2020-04-14,0.1216
AND,2020-04-15,0.0972
AND,2020-04-16,0.1523
AND,2020-04-17,0.1475
AND,2020-04-18,0.1475
AND,2020-04-19,0.0754
AGO,2019-12-01,0.1772
AGO,2019-12-02,0.222
AGO,2019-12-03,0.1599
AGO,2019-12-04,0.1732
AGO,2019-12-05,0.196
AGO,2019-12-06,0.1491
AGO,2019-12-07,0.0732
AGO,2019-12-08,0.2285
AGO,2019-12-09,0.2094
AGO,2019-12-10,0.2631
AGO,2019-12-11,0.3018
AGO,2019-12-12,0.2961
AGO,2019-12-13,0.2303
AGO,2019-12-14,0.1622
AGO,2019-12-15,0.2285
AGO,2019-12-16,0.2539
AGO,2019-12-17,0.3072
AGO,2019-12-18,0.20600000000000002
AGO,2019-12-19,0.1374
AGO,2019-12-20,0.2355
AGO,2019-12-21,0.2559
AGO,2019-12-22,0.2433
AGO,2019-12-23,0.2193
AGO,2019-12-24,0.2516
AGO,2019-12-25,0.2521
AGO,2019-12-26,0.1963
AGO,2019-12-27,0.2178
AGO,2019-12-28,0.222
AGO,2019-12-29,0.2327
AGO,2019-12-30,0.2616
AGO,2019-12-31,0.1763
AGO,2020-01-01,0.26
AGO,2020-01-02,0.22699999999999998
AGO,2020-01-03,0.1956
AGO,2020-01-04,0.1109
AGO,2020-01-05,0.2022
AGO,2020-01-06,0.2646
AGO,2020-01-07,0.1746
AGO,2020-01-08,0.1106
AGO,2020-01-09,0.2497
AGO,2020-01-10,0.11599999999999999
AGO,2020-01-11,0.1492
AGO,2020-01-12,0.2688
AGO,2020-01-13,0.276
AGO,2020-01-14,0.322
AGO,2020-01-15,0.2758
AGO,2020-01-16,0.2595
AGO,2020-01-17,0.239
AGO,2020-01-18,0.2665
AGO,2020-01-19,0.2979
AGO,2020-01-20,0.2669
AGO,2020-01-21,0.2301
AGO,2020-01-22,0.2357
AGO,2020-01-23,0.1612
AGO,2020-01-24,0.1994
AGO,2020-01-25,0.2242
AGO,2020-01-26,0.1059
AGO,2020-01-27,0.12
AGO,2020-01-28,0.2336
AGO,2020-01-29,0.16399999999999998
AGO,2020-01-30,0.1774
AGO,2020-01-31,0.1867
AGO,2020-02-01,0.1429
AGO,2020-02-02,0.1164
AGO,2020-02-03,0.184
AGO,2020-02-04,0.1297
AGO,2020-02-05,0.2286
AGO,2020-02-06,0.223
AGO,2020-02-07,0.2187
AGO,2020-02-08,0.1571
AGO,2020-02-09,0.1997
AGO,2020-02-10,0.1128
AGO,2020-02-11,0.174
AGO,2020-02-12,0.2969
AGO,2020-02-13,0.2693
AGO,2020-02-14,0.1502
AGO,2020-02-15,0.2007
AGO,2020-02-16,0.2675
AGO,2020-02-17,0.2341
AGO,2020-02-18,0.2535
AGO,2020-02-19,0.1691
AGO,2020-02-20,0.2495
AGO,2020-02-21,0.3027
AGO,2020-02-22,0.2593
AGO,2020-02-23,0.1836
AGO,2020-02-24,0.0772
AGO,2020-02-25,0.2905
AGO,2020-02-26,0.2188
AGO,2020-02-27,0.2584
AGO,2020-02-28,0.2743
AGO,2020-02-29,0.2528
AGO,2020-03-01,0.2705
AGO,2020-03-02,0.3169
AGO,2020-03-03,0.21
AGO,2020-03-04,0.27399999999999997
AGO,2020-03-05,0.2726
AGO,2020-03-06,0.2539
AGO,2020-03-07,0.3009
AGO,2020-03-08,0.2194
AGO,2020-03-09,0.1585
AGO,2020-03-10,0.2483
AGO,2020-03-11,0.23399999999999999
AGO,2020-03-12,0.2089
AGO,2020-03-13,0.2304
AGO,2020-03-14,0.1413
AGO,2020-03-15,0.126
AGO,2020-03-16,0.2144
AGO,2020-03-17,0.2694
AGO,2020-03-18,0.1925
AGO,2020-03-19,0.3138
AGO,2020-03-20,0.2848
AGO,2020-03-21,0.2357
AGO,2020-03-22,0.1671
AGO,2020-03-23,0.2148
AGO,2020-03-24,0.2468
AGO,2020-03-25,0.2152
AGO,2020-03-26,0.2282
AGO,2020-03-27,0.1262
AGO,2020-03-28,0.2301
AGO,2020-03-29,0.2147
AGO,2020-03-30,0.2171
AGO,2020-03-31,0.2642
