"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",18.99694,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",19.84583,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.22088,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.73271,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",17.59491,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.6811,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",16.33775,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.4971,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",14.41739,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",14.51624,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",14.40937,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",14.36904,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.36078,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.55745,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.77393,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.88608,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.79464,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",11.86181,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",29.85944,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",30.39617,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",30.0354,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",29.96,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",28.05809,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",29.30253,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",27.19911,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",28.05651,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",24.99773,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",25.13889,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.44219,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.2481,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",12.79199,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.58926,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.63394,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",11.45083,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",10.67315,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.87678,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",10.16439,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.17904,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",27.42368,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",27.47616,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",26.75453,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",28.21291,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",26.4369,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",25.79244,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",23.60891,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",22.58937,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",21.25683,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",21.23615,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",14.92449,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",14.60716,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.07256,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.00012,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.78164,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.04299,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.73891,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.87384,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.07439,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.086,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.29552,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.25624,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.25277,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.51619,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.94628,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.79092,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.43724,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.39736,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.02967,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",5.99181,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",8.80463,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",8.46667,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",8.49182,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",8.99417,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",8.04647,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.74089,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.78325,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.33184,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",7.05621,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",7.0458,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",25.92949,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",26.00973,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",27.10558,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",26.15214,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",24.29708,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",23.22225,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",22.17074,
